,voltage_charger,temperature_battery
count,503147.0,503147.0
mean,7.656765881541576,35.4283751845882
std,0.6650013668685981,6.557274411558721
min,-0.0579999999999999,22.228
25%,7.247999999999999,32.324
50%,7.718,34.236
75%,8.212,37.971
max,8.643,57.318000000000005
