,voltage_charger,temperature_battery
count,98496.0,98496.0
mean,7.52908853151397,32.470909955734236
std,0.7660931526346406,7.242759018422331
min,6.042999999999999,22.434
25%,7.08975,28.68
50%,7.598,30.968000000000004
75%,8.17,34.688
max,8.63,57.035
