0,count,unique,top,freq,mean,std,min,25%,50%,75%,max
2022-10-19 14:42:00,0.0,,,,,,,,,,
0.0,1829937,1829937,0.5929999999999964,1,,,,,,,
0.0,1829937,3,1.0,925666,,,,,,,
0.0,1829937,4744,8.132,6370,,,,,,,
0.0,1829937,10466,22.366,1600,,,,,,,
,1829937,4485,,1616724,,,,,,,
,1829937,41118,,1616724,,,,,,,
,1829937,1198,,1616724,,,,,,,
,1829937,1079,,1616724,,,,,,,
,1829937,3,,1616724,,,,,,,
