,voltage_charger,temperature_battery
count,1163402.0,1163401.0
mean,7.709857688056237,31.85252224641372
std,0.6736570448462408,3.9254797835698776
min,5.8020000000000005,21.972
25%,7.3,30.862
50%,7.811,31.86
75%,8.272,32.861999999999995
max,8.63,47.87
