start_time,0
2022-08-06,1.0
2022-08-07,1.0
2022-08-08,1.0
2022-08-09,1.0
2022-08-10,1.0
2022-08-11,1.0
2022-08-12,0.0
2022-08-13,1.0
2022-08-14,1.0
2022-08-15,1.0
2022-08-16,1.0
2022-08-17,1.0
2022-08-18,0.0
2022-08-19,1.0
2022-08-20,1.0
2022-08-21,1.0
2022-08-22,1.0
2022-08-23,1.0
2022-08-24,1.0
2022-08-25,
2022-08-26,1.0
2022-08-27,1.0
2022-08-28,1.0
2022-08-29,1.0
2022-08-30,
2022-08-31,1.0
2022-09-01,
2022-09-02,1.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,
2022-09-06,
2022-09-07,
2022-09-08,
2022-09-09,
2022-09-10,
2022-09-11,
2022-09-12,
2022-09-13,
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,1.0
2022-09-17,1.0
2022-09-18,1.0
2022-09-19,0.0
2022-09-20,1.0
2022-09-21,1.0
2022-09-22,
2022-09-23,0.0
2022-09-24,
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,1.0
2022-09-28,
2022-09-29,
2022-09-30,
2022-10-01,
2022-10-02,
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,0.0
