,voltage_charger,temperature_battery
count,1260492.0,1260492.0
mean,7.726552975346139,32.13889549239504
std,0.6642053797389307,5.539314328938269
min,-0.1159999999999999,-78.179
25%,7.32,30.125
50%,7.808,32.092
75%,8.297,34.041
max,8.63,47.154
