0,count,unique,top,freq,mean,std,min,25%,50%,75%,max
7/27/2022 21:12,0.0,,,,,,,,,,
0.0,530717,530717,0.174,1,,,,,,,
0,530717.0,,,,0.3615241267945063,0.6377602699784067,-1.0,0.0,0.0,1.0,1.0
0.0,530717,3931,8.393,3310,,,,,,,
0.0,530717,8253,22.369,1050,,,,,,,
,530717,3486,,484037,,,,,,,
,530717,16514,,484037,,,,,,,
,530717,1227,,484037,,,,,,,
,530717,1357,,484037,,,,,,,
,530717,3,,484037,,,,,,,
