0,count,unique,top,freq,mean,std,min,25%,50%,75%,max
2022-10-24 11:12:00,0.0,,,,,,,,,,
0.0,1139971,1139971,0.2139999999999986,1,,,,,,,
0.0,1139971,3,1.0,660226,,,,,,,
0.0,1139971,4699,7.843,16054,,,,,,,
0.0,1139971,11812,21.393,1582,,,,,,,
,1139971,4450,,1002811,,,,,,,
,1139971,28798,,1002811,,,,,,,
,1139971,1306,,1002811,,,,,,,
,1139971,1089,,1002811,,,,,,,
,1139971,3,,1002811,,,,,,,
