,voltage_charger,temperature_battery
count,711825.0,711825.0
mean,7.634933291188141,31.461054704456856
std,0.914172157209645,4.090792778688675
min,-0.119,19.299
25%,7.263,29.459
50%,7.75,30.813
75%,8.256,32.782
max,8.63,46.211000000000006
