,voltage_charger,temperature_battery
count,2381175.0,2381175.0
mean,7.778647846126389,31.05786633573761
std,0.6271005901648592,2.6890947103501968
min,3.885,20.625
25%,7.371,29.398000000000003
50%,7.852,31.21
75%,8.318,32.732
max,8.63,41.413
