,voltage_charger,temperature_battery
count,743324.0,743324.0
mean,7.941786580279933,33.444601128175584
std,0.5353910625459378,2.3101169257826246
min,5.923,21.355
25%,7.547,32.233
50%,8.01,33.256
75%,8.437000000000001,34.449
max,8.63,42.818
