,voltage_charger,temperature_battery
count,426874.0,426874.0
mean,7.708218160393935,34.68251335991417
std,0.6359298157649398,6.207043604167361
min,-0.072,22.178
25%,7.294,31.411
50%,7.756,33.453
75%,8.264,36.901
max,8.634,55.958
