,voltage_charger,temperature_battery
count,1622756.0,1622756.0
mean,7.835160358673764,32.455526506141425
std,0.5713845566462455,2.991754728130894
min,5.7860000000000005,20.211
25%,7.416,30.789
50%,7.89,31.989
75%,8.341000000000001,33.702
max,8.63,48.339
