,voltage_charger,temperature_battery
count,2412511.0,2412511.0
mean,7.703981516353704,33.01657994554222
std,0.6800535270257921,3.8320537907746974
min,-0.058,19.677
25%,7.303,31.071
50%,7.795,33.277
75%,8.277999999999999,35.526
max,8.63,45.725
