,voltage_charger,temperature_battery
count,1088836.0,1088836.0
mean,7.77855363893185,32.69281735265917
std,0.5937597142956673,3.4622906106020186
min,-0.057,21.465
25%,7.363,30.785
50%,7.835,31.939
75%,8.295,33.533
max,8.63,47.353
